epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,165.862,1.86926,2.5811,1.64226,0.55295,0.37964,0.40126,0.24648,1.9475,2.2911,1.68944,0.0099784,0.00332613,0.0099784,0.00332613,0.0099784,0.00332613,0.0099784,0.00332613
2,312.144,1.8531,2.12559,1.60031,0.59568,0.34959,0.39076,0.18292,2.08245,2.41304,1.85061,0.0198465,0.00661551,0.0198465,0.00661551,0.0198465,0.00661551,0.0198465,0.00661551
3,453.909,2.00203,2.32048,1.71093,0.48743,0.26887,0.266,0.11882,2.19155,2.8151,1.9417,0.0295827,0.0098609,0.0295827,0.0098609,0.0295827,0.0098609,0.0295827,0.0098609
4,595.682,2.07577,2.41446,1.78879,0.32872,0.36117,0.30477,0.16595,2.09358,2.35554,1.8622,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,736.788,2.02127,2.30759,1.75168,0.51144,0.40605,0.38214,0.20484,2.04863,2.28063,1.7798,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,875.933,1.97224,2.2427,1.71188,0.39935,0.37941,0.32682,0.15344,2.07244,2.54886,1.77135,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1014.9,1.94337,2.20016,1.69358,0.43784,0.37018,0.39584,0.20776,2.01164,2.18499,1.75218,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1154.27,1.91299,2.11462,1.67194,0.56868,0.4816,0.44551,0.20953,2.00668,2.17613,1.75064,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1293.76,1.88614,2.10753,1.67164,0.53169,0.45246,0.46119,0.23111,1.98741,2.07836,1.75995,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,1433.4,1.85008,2.08133,1.64659,0.6603,0.39666,0.46244,0.27194,1.89413,2.0769,1.66293,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,1572.38,1.85348,2.03015,1.6292,0.49673,0.48925,0.47238,0.25871,1.92767,2.05207,1.70289,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,1711.12,1.82809,2.02055,1.61845,0.67079,0.48002,0.50778,0.27535,1.90719,1.99697,1.64842,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,1849.84,1.80938,1.95909,1.5946,0.47734,0.50178,0.49068,0.28098,1.89789,1.97468,1.64055,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,1988.66,1.80244,1.96772,1.59687,0.50614,0.45741,0.43503,0.20901,1.87248,2.02788,1.63693,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,2127.79,1.79119,1.93264,1.57521,0.58837,0.49968,0.52761,0.30912,1.83916,1.93057,1.62428,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,2266.87,1.77537,1.90347,1.56814,0.61711,0.48423,0.52209,0.29388,1.8872,1.96896,1.64566,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,2405.68,1.76756,1.91172,1.57194,0.61029,0.49652,0.53502,0.33182,1.79886,1.90798,1.58787,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,2544.69,1.7529,1.8609,1.55583,0.62378,0.52742,0.54111,0.31881,1.82123,1.86602,1.59784,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,2683.33,1.7458,1.84617,1.56081,0.64235,0.53656,0.56729,0.33649,1.82215,1.86588,1.58813,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,2822.19,1.73935,1.8277,1.54541,0.59455,0.5719,0.55992,0.34107,1.83317,1.90809,1.62316,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,2960.92,1.72869,1.81215,1.53647,0.64197,0.58352,0.55103,0.33741,1.82193,1.88414,1.62654,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,3099.44,1.7077,1.78181,1.5269,0.64146,0.56337,0.57177,0.3315,1.85094,1.85149,1.62654,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,3238.04,1.70862,1.79084,1.52503,0.60723,0.55394,0.56823,0.34959,1.83173,1.8576,1.60256,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,3376.64,1.69586,1.76774,1.51638,0.69962,0.52585,0.58709,0.35605,1.80077,1.82469,1.58495,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,3515.29,1.68048,1.71377,1.50246,0.68923,0.51796,0.56638,0.34056,1.80702,1.84554,1.59729,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,3654.46,1.67634,1.74327,1.4941,0.72826,0.53899,0.60852,0.37793,1.80606,1.78756,1.59403,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,3793.86,1.66537,1.73334,1.50138,0.69853,0.58971,0.6158,0.39842,1.788,1.73576,1.58635,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,3932.77,1.65437,1.69242,1.48956,0.7466,0.55432,0.61696,0.38091,1.77975,1.7636,1.57974,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,4071.82,1.65555,1.67396,1.48323,0.66561,0.61162,0.60663,0.39145,1.80201,1.74397,1.57827,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,4213.19,1.65725,1.66222,1.4903,0.66504,0.58671,0.60432,0.37901,1.7559,1.72734,1.56338,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,4354.2,1.6223,1.638,1.47134,0.68657,0.59868,0.6297,0.40337,1.7917,1.72346,1.57363,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,4495.87,1.62485,1.63325,1.46882,0.67183,0.56863,0.61773,0.39532,1.78337,1.7111,1.57881,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,4637.05,1.61929,1.62305,1.45986,0.65666,0.62129,0.64888,0.40371,1.77876,1.68416,1.54851,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,4778.57,1.59739,1.57299,1.43857,0.72635,0.60847,0.63792,0.40036,1.77866,1.70163,1.56014,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,4920.35,1.59842,1.58777,1.44876,0.7279,0.62703,0.65022,0.4057,1.78,1.66189,1.5842,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,5061.04,1.58641,1.54385,1.44375,0.6981,0.60511,0.64672,0.39814,1.78811,1.67419,1.56619,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,5199.41,1.57256,1.53732,1.42801,0.72427,0.5825,0.64642,0.40416,1.75468,1.64664,1.54219,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,5337.95,1.57429,1.54908,1.43948,0.76308,0.58849,0.64189,0.40209,1.76603,1.67449,1.55502,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,5476.9,1.57897,1.52368,1.42589,0.71132,0.61005,0.65158,0.4067,1.76809,1.62568,1.53536,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,5616.46,1.58271,1.51962,1.42826,0.74823,0.5883,0.64663,0.42342,1.74944,1.67088,1.5498,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,5755.93,1.54358,1.48464,1.40837,0.73884,0.62671,0.6562,0.42519,1.76715,1.62348,1.5354,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,5894.97,1.55399,1.48017,1.40209,0.77146,0.61971,0.66653,0.42424,1.73846,1.61555,1.52531,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,6036,1.53195,1.44868,1.3997,0.76916,0.61971,0.6615,0.41513,1.75901,1.62939,1.54154,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,6178.27,1.5469,1.45654,1.39278,0.74,0.6276,0.66427,0.43043,1.75464,1.60457,1.5346,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,6319.76,1.52614,1.42768,1.38385,0.73891,0.62339,0.6762,0.42107,1.75836,1.6062,1.54693,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,6459.78,1.51439,1.41579,1.38166,0.72457,0.68005,0.67841,0.43126,1.74712,1.58,1.53809,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,6598.92,1.50495,1.39375,1.3703,0.75626,0.63286,0.67251,0.42545,1.77034,1.59913,1.53395,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,6739.43,1.50207,1.39849,1.37601,0.73851,0.64936,0.68879,0.44463,1.75904,1.58825,1.53865,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,6879.45,1.51264,1.40641,1.37476,0.77193,0.66974,0.69533,0.44369,1.74523,1.58007,1.52727,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,7019.09,1.49416,1.36803,1.36899,0.77325,0.64751,0.68084,0.44786,1.72556,1.55821,1.52515,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,7158.81,1.47858,1.33427,1.35514,0.7506,0.68549,0.69537,0.44433,1.77149,1.5769,1.54831,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,7298.47,1.48197,1.34239,1.36307,0.82079,0.64691,0.70685,0.45833,1.75101,1.53791,1.54229,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,7438.17,1.46051,1.29645,1.34443,0.76666,0.67451,0.69686,0.44022,1.76435,1.55997,1.53393,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,7577.98,1.44353,1.28982,1.32797,0.73775,0.68555,0.69769,0.45264,1.74684,1.5459,1.53955,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,7717.76,1.4521,1.28656,1.34071,0.77537,0.65962,0.69599,0.44779,1.7225,1.56914,1.52762,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,7857.64,1.43986,1.26947,1.33179,0.77238,0.67289,0.68893,0.46264,1.7301,1.55757,1.53375,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,7997.04,1.43512,1.25716,1.32011,0.78057,0.67342,0.69607,0.46303,1.74945,1.55521,1.53697,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,8136.7,1.43533,1.26595,1.32592,0.74334,0.69813,0.69947,0.45026,1.76912,1.5321,1.55969,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,8275.74,1.4216,1.22821,1.32402,0.77502,0.66291,0.70185,0.4686,1.73387,1.5223,1.54235,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,8414.96,1.40126,1.20709,1.30682,0.76421,0.66165,0.6853,0.45604,1.74935,1.54829,1.54679,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,8553.81,1.40795,1.2183,1.30002,0.76254,0.65172,0.69401,0.4541,1.74182,1.54068,1.52945,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,8692.96,1.40333,1.22411,1.3099,0.74864,0.6788,0.69678,0.45875,1.74253,1.56399,1.54039,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,8832.14,1.39897,1.19158,1.30184,0.75173,0.68864,0.70288,0.45109,1.75703,1.53732,1.55064,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,8971.37,1.38271,1.16432,1.29174,0.7454,0.68822,0.69765,0.45764,1.73312,1.54933,1.52774,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
